lemma,infinitiv,stamm_praes,stamm_fut,stamm_aor,stamm_perf_akt,stamm_perf_mp,stamm_aor_pass,konjugation,kontraktions_typ,bedeutung
βάλλω,βάλλειν,βαλλ,βαλ,βαλ,βεβληκ,βεβλη,βληθ,omega,none,werfen
ποιέω,ποιεῖν,ποιε,ποιησ,ποιησ,πεποιηκ,πεποιη,ποιηθ,omega,contract_e,machen/tun
