Konjugation,Tempus,Modus,Diathese,Person,Numerus,Endung
3i,Imperfekt,Indikativ,Aktiv,1,Sg,iebam
3i,Imperfekt,Indikativ,Aktiv,2,Sg,iebas
3i,Imperfekt,Indikativ,Aktiv,3,Sg,iebat
3i,Imperfekt,Indikativ,Aktiv,1,Pl,iebamus
3i,Imperfekt,Indikativ,Aktiv,2,Pl,iebatis
3i,Imperfekt,Indikativ,Aktiv,3,Pl,iebant
4,Imperfekt,Indikativ,Aktiv,1,Sg,iebam
4,Imperfekt,Indikativ,Aktiv,2,Sg,iebas
4,Imperfekt,Indikativ,Aktiv,3,Sg,iebat
4,Imperfekt,Indikativ,Aktiv,1,Pl,iebamus
4,Imperfekt,Indikativ,Aktiv,2,Pl,iebatis
4,Imperfekt,Indikativ,Aktiv,3,Pl,iebant
1,Perfekt,Indikativ,Aktiv,1,Sg,i
1,Perfekt,Indikativ,Aktiv,2,Sg,isti
1,Perfekt,Indikativ,Aktiv,3,Sg,it
1,Perfekt,Indikativ,Aktiv,1,Pl,imus
1,Perfekt,Indikativ,Aktiv,2,Pl,istis
1,Perfekt,Indikativ,Aktiv,3,Pl,erunt
2,Perfekt,Indikativ,Aktiv,1,Sg,i
2,Perfekt,Indikativ,Aktiv,2,Sg,isti
2,Perfekt,Indikativ,Aktiv,3,Sg,it
2,Perfekt,Indikativ,Aktiv,1,Pl,imus
2,Perfekt,Indikativ,Aktiv,2,Pl,istis
2,Perfekt,Indikativ,Aktiv,3,Pl,erunt
3,Perfekt,Indikativ,Aktiv,1,Sg,i
3,Perfekt,Indikativ,Aktiv,2,Sg,isti
3,Perfekt,Indikativ,Aktiv,3,Sg,it
3,Perfekt,Indikativ,Aktiv,1,Pl,imus
3,Perfekt,Indikativ,Aktiv,2,Pl,istis
3,Perfekt,Indikativ,Aktiv,3,Pl,erunt
3i,Perfekt,Indikativ,Aktiv,1,Sg,i
3i,Perfekt,Indikativ,Aktiv,2,Sg,isti
3i,Perfekt,Indikativ,Aktiv,3,Sg,it
3i,Perfekt,Indikativ,Aktiv,1,Pl,imus
3i,Perfekt,Indikativ,Aktiv,2,Pl,istis
3i,Perfekt,Indikativ,Aktiv,3,Pl,erunt
4,Perfekt,Indikativ,Aktiv,1,Sg,i
4,Perfekt,Indikativ,Aktiv,2,Sg,isti
4,Perfekt,Indikativ,Aktiv,3,Sg,it
4,Perfekt,Indikativ,Aktiv,1,Pl,imus
4,Perfekt,Indikativ,Aktiv,2,Pl,istis
4,Perfekt,Indikativ,Aktiv,3,Pl,erunt
1,Plusquamperfekt,Indikativ,Aktiv,1,Sg,eram
1,Plusquamperfekt,Indikativ,Aktiv,2,Sg,eras
1,Plusquamperfekt,Indikativ,Aktiv,3,Sg,erat
1,Plusquamperfekt,Indikativ,Aktiv,1,Pl,eramus
1,Plusquamperfekt,Indikativ,Aktiv,2,Pl,eratis
1,Plusquamperfekt,Indikativ,Aktiv,3,Pl,erant
2,Plusquamperfekt,Indikativ,Aktiv,1,Sg,eram
2,Plusquamperfekt,Indikativ,Aktiv,2,Sg,eras
2,Plusquamperfekt,Indikativ,Aktiv,3,Sg,erat
2,Plusquamperfekt,Indikativ,Aktiv,1,Pl,eramus
2,Plusquamperfekt,Indikativ,Aktiv,2,Pl,eratis
2,Plusquamperfekt,Indikativ,Aktiv,3,Pl,erant
3,Plusquamperfekt,Indikativ,Aktiv,1,Sg,eram
3,Plusquamperfekt,Indikativ,Aktiv,2,Sg,eras
3,Plusquamperfekt,Indikativ,Aktiv,3,Sg,erat
3,Plusquamperfekt,Indikativ,Aktiv,1,Pl,eramus
3,Plusquamperfekt,Indikativ,Aktiv,2,Pl,eratis
3,Plusquamperfekt,Indikativ,Aktiv,3,Pl,erant
3i,Plusquamperfekt,Indikativ,Aktiv,1,Sg,eram
3i,Plusquamperfekt,Indikativ,Aktiv,2,Sg,eras
3i,Plusquamperfekt,Indikativ,Aktiv,3,Sg,erat
3i,Plusquamperfekt,Indikativ,Aktiv,1,Pl,eramus
3i,Plusquamperfekt,Indikativ,Aktiv,2,Pl,eratis
3i,Plusquamperfekt,Indikativ,Aktiv,3,Pl,erant
4,Plusquamperfekt,Indikativ,Aktiv,1,Sg,eram
4,Plusquamperfekt,Indikativ,Aktiv,2,Sg,eras
4,Plusquamperfekt,Indikativ,Aktiv,3,Sg,erat
4,Plusquamperfekt,Indikativ,Aktiv,1,Pl,eramus
4,Plusquamperfekt,Indikativ,Aktiv,2,Pl,eratis
4,Plusquamperfekt,Indikativ,Aktiv,3,Pl,erant
